"sku","title","br_price","category","Imageurl"
"(DIV)119718","Diversa Startup 80 LED akvárium szett szögletes","51399","Akvarisztika>Akvárium szettek>Gyári szettek","https://github.com/totapp91/KisallatAkvarisztika/raw/master/images/(DIV)119718.jpg"
"(AEL)017-6015","AquaEl Fan 1 Plus akváriumi belső szűrő","5899","Akvarisztika>Szűrés>Belső szűrők","https://github.com/totapp91/KisallatAkvarisztika/raw/master/images/(AEL)017-6015.jpg"
"(AEL)017-6016","AquaEl Fan 2 Plus akváriumi belső szűrő","7899","Akvarisztika>Szűrés>Belső szűrők","https://github.com/totapp91/KisallatAkvarisztika/raw/master/images/(AEL)017-6016.jpg"
"(AEL)017-6017","AquaEl Fan 3 Plus akváriumi belső szűrő","9719","Akvarisztika>Szűrés>Belső szűrők","https://github.com/totapp91/KisallatAkvarisztika/raw/master/images/(AEL)017-6017.jpg"
"(AEL)101786","AquaEl Fan Mini Plus akváriumi belső szűrő","5189","Akvarisztika>Szűrés>Belső szűrők","https://github.com/totapp91/KisallatAkvarisztika/raw/master/images/(AEL)101786.jpg"
"(JKA)141.12j","Atman JKA - IF-300 akváriumi belső szűrő 100l/h","3809","Akvarisztika>Szűrés>Belső szűrők","https://github.com/totapp91/KisallatAkvarisztika/raw/master/images/(JKA)141.12j.jpg"
"(JKA)141.13j","Atman JKA - IF301 akváriumi belső szűrő","3909","Akvarisztika>Szűrés>Belső szűrők","https://github.com/totapp91/KisallatAkvarisztika/raw/master/images/(JKA)141.13j.jpg"
"(JKA)141.14j","Atman JKA - IF302 akváriumi belső szűrő","3999","Akvarisztika>Szűrés>Belső szűrők","https://github.com/totapp91/KisallatAkvarisztika/raw/master/images/(JKA)141.14j.jpg"
"(JKA)141.15j","Atman JKA - IF303 akváriumi belső szűrő","5499","Akvarisztika>Szűrés>Belső szűrők","https://github.com/totapp91/KisallatAkvarisztika/raw/master/images/(JKA)141.15j.jpg"
"(JKA)141.16j","Atman JKA - IF304 akváriumi belső szűrő","5599","Akvarisztika>Szűrés>Belső szűrők","https://github.com/totapp91/KisallatAkvarisztika/raw/master/images/(JKA)141.16j.jpg"
"(EH)2401020","Eheim Aquaball 60 akváriumi belső szűrő","11999","Akvarisztika>Szűrés>Belső szűrők","https://github.com/totapp91/KisallatAkvarisztika/raw/master/images/(EH)2401020.jpg"
"(EH)2402020","Eheim Aquaball 130 akváriumi belső szűrő","12999","Akvarisztika>Szűrés>Belső szűrők","https://github.com/totapp91/KisallatAkvarisztika/raw/master/images/(EH)2402020.jpg"
"(EH)2403020","Eheim Aquaball 180 akváriumi belső szűrő","13999","Akvarisztika>Szűrés>Belső szűrők","https://github.com/totapp91/KisallatAkvarisztika/raw/master/images/(EH)2403020.jpg"
"(EH)2411020","Eheim Biopower 160 akváriumi belső szűrő","13899","Akvarisztika>Szűrés>Belső szűrők","https://github.com/totapp91/KisallatAkvarisztika/raw/master/images/(EH)2411020.jpg"
"(EH)2412020","Eheim Biopower 200 akváriumi belső szűrő","16899","Akvarisztika>Szűrés>Belső szűrők","https://github.com/totapp91/KisallatAkvarisztika/raw/master/images/(EH)2412020.jpg"
"(EH)2413020","Eheim Biopower 240 akváriumi belső szűrő","19899","Akvarisztika>Szűrés>Belső szűrők","https://github.com/totapp91/KisallatAkvarisztika/raw/master/images/(EH)2413020.jpg"
"(EH)2006020","Eheim PickUp 45 akváriumi belső szűrő","6189","Akvarisztika>Szűrés>Belső szűrők","https://github.com/totapp91/KisallatAkvarisztika/raw/master/images/(EH)2006020.jpg"
"(EH)2010020","Eheim PickUp 160 akváriumi belső szűrő","8489","Akvarisztika>Szűrés>Belső szűrők","https://github.com/totapp91/KisallatAkvarisztika/raw/master/images/(EH)2010020.jpg"
"(EH)2012020","Eheim PickUp 200 akváriumi belső szűrő","10689","Akvarisztika>Szűrés>Belső szűrők","https://github.com/totapp91/KisallatAkvarisztika/raw/master/images/(EH)2012020.jpg"
"(EH)2008020","Eheim PickUp 60 akváriumi belső szűrő","7489","Akvarisztika>Szűrés>Belső szűrők","https://github.com/totapp91/KisallatAkvarisztika/raw/master/images/(EH)2008020.jpg"
"JBL60973","JBL CristalProfi i100 Greenline akváriumi belső szűrő","19989","Akvarisztika>Szűrés>Belső szűrők","https://github.com/totapp91/KisallatAkvarisztika/raw/master/images/JBL60973.jpg"
"JBL60974","JBL CristalProfi i200 Greenline akváriumi belső szűrő","21599","Akvarisztika>Szűrés>Belső szűrők","https://github.com/totapp91/KisallatAkvarisztika/raw/master/images/JBL60974.jpg"
"JBL60971","JBL CristalProfi i60 Greenline akváriumi belső szűrő","10989","Akvarisztika>Szűrés>Belső szűrők",""
"JBL60972","JBL CristalProfi i80 Greenline akváriumi belső szűrő","13999","Akvarisztika>Szűrés>Belső szűrők","https://github.com/totapp91/KisallatAkvarisztika/raw/master/images/JBL60972.jpg"
"(JBL)60283","JBL CristalProfi e1502 greenline","62899","Akvarisztika>Szűrés>Külső szűrők","https://github.com/totapp91/KisallatAkvarisztika/raw/master/images/(JBL)60283.jpg"
"(JBL)60284","JBL CristalProfi e1902 greenline","88899","Akvarisztika>Szűrés>Külső szűrők","https://github.com/totapp91/KisallatAkvarisztika/raw/master/images/(JBL)60284.jpg"
"(JBL)60280","JBL CristalProfi e402 greenline","32889","Akvarisztika>Szűrés>Külső szűrők","https://github.com/totapp91/KisallatAkvarisztika/raw/master/images/(JBL)60280.jpg"
"(JBL)60281","JBL CristalProfi e702 greenline","36889","Akvarisztika>Szűrés>Külső szűrők","https://github.com/totapp91/KisallatAkvarisztika/raw/master/images/(JBL)60281.jpg"
"(JBL)60282","JBL CristalProfi e902 greenline","43999","Akvarisztika>Szűrés>Külső szűrők","https://github.com/totapp91/KisallatAkvarisztika/raw/master/images/(JBL)60282.jpg"
"(JKA)140.40j","Atman/JK Animals automata akvárium fűtő 25W","4539","Akvarisztika>Fűtés/Hűtés>Fűtés","https://github.com/totapp91/KisallatAkvarisztika/raw/master/images/(JKA)140.40j.jpg"
